time,open,high,low,close,volume
2024-11-29 16:47:00,0.0215,0.0215,0.0215,0.0215,10000
2024-11-29 17:06:00,0.0344,0.0344,0.0344,0.0344,500
2024-12-03 17:20:00,0.0343,0.0343,0.0343,0.0343,4500
2024-12-03 20:17:00,0.024,0.024,0.024,0.024,20000
2024-12-03 20:31:00,0.0306,0.0306,0.0306,0.0306,6000
2024-12-04 14:52:00,0.0241,0.0241,0.0235,0.0235,47506
2024-12-04 18:20:00,0.0282,0.033,0.0282,0.033,7000
2024-12-05 19:55:00,0.0242,0.0242,0.0242,0.0242,14680
2024-12-09 16:38:00,0.0264,0.0264,0.0264,0.0264,4500
2024-12-10 15:16:00,0.0323,0.0323,0.0323,0.0323,1000
2024-12-10 19:43:00,0.0365,0.0365,0.0365,0.0365,2000
2024-12-10 20:18:00,0.04,0.04,0.04,0.04,24297
2024-12-10 20:19:00,0.041,0.041,0.041,0.041,100000
2024-12-10 20:38:00,0.0485,0.0485,0.0485,0.0485,15000
2024-12-10 20:46:00,0.0489,0.0489,0.0489,0.0489,10000
2024-12-10 20:50:00,0.0488,0.0488,0.0488,0.0488,6000
2024-12-10 20:52:00,0.0488,0.0489,0.0488,0.0489,15000
2024-12-10 20:56:00,0.05,0.05,0.05,0.05,20000
2024-12-11 14:37:00,0.065,0.065,0.065,0.065,1500
2024-12-11 15:49:00,0.055,0.055,0.055,0.055,10000
2024-12-11 16:00:00,0.06,0.06,0.06,0.06,20000
2024-12-11 16:14:00,0.065,0.065,0.065,0.065,1500
2024-12-11 17:01:00,0.0575,0.0575,0.0575,0.0575,3300
2024-12-11 17:07:00,0.06,0.06,0.06,0.06,10000
2024-12-11 18:14:00,0.0525,0.0525,0.0525,0.0525,7000
2024-12-11 18:16:00,0.0575,0.0575,0.0575,0.0575,10000
2024-12-11 18:57:00,0.06,0.06,0.06,0.06,16666
2024-12-12 15:02:00,0.0557,0.0557,0.0557,0.0557,6000
2024-12-12 16:08:00,0.0557,0.0557,0.0485,0.0485,30000
2024-12-13 16:01:00,0.0452,0.0452,0.0452,0.0452,7399
2024-12-13 16:36:00,0.0485,0.0485,0.0485,0.0485,7600
2024-12-13 17:46:00,0.042,0.042,0.042,0.042,6000
2024-12-17 15:32:00,0.0485,0.0485,0.0485,0.0485,6000
2024-12-17 15:48:00,0.055,0.0562,0.055,0.0562,20000
2024-12-17 15:51:00,0.0599,0.0599,0.0599,0.0599,10000
2024-12-17 15:54:00,0.0599,0.0599,0.0599,0.0599,10000
2024-12-17 15:58:00,0.0587,0.0587,0.0587,0.0587,12651
2024-12-17 16:08:00,0.07,0.07,0.07,0.07,10000
2024-12-17 16:37:00,0.08,0.08,0.08,0.08,12900
2024-12-17 16:47:00,0.0875,0.09,0.0875,0.09,2996
2024-12-17 16:50:00,0.09,0.09,0.09,0.09,10000
2024-12-17 17:03:00,0.085,0.085,0.085,0.085,30000
2024-12-17 17:06:00,0.0825,0.09,0.0825,0.09,2000
2024-12-17 17:35:00,0.06,0.06,0.06,0.06,22900
2024-12-17 17:36:00,0.0799,0.0799,0.0799,0.0799,1000
2024-12-17 18:59:00,0.0799,0.0799,0.0799,0.0799,3100
2024-12-17 19:49:00,0.0799,0.0799,0.0799,0.0799,10200
2024-12-18 14:35:00,0.0555,0.0555,0.0555,0.0555,200
2024-12-18 14:40:00,0.0556,0.0556,0.0556,0.0556,49297
2024-12-18 14:54:00,0.0812,0.0812,0.0812,0.0812,1000
2024-12-18 15:32:00,0.0859,0.0859,0.0859,0.0859,420
