time,open,high,low,close,volume
2024-11-29 14:30:00,155.72,156.12,155.72,155.77,18444
2024-11-29 14:31:00,156.13,156.24,156.03,156.05,1043
2024-11-29 14:32:00,156.165,156.39,156.0,156.39,1193
2024-11-29 14:33:00,156.37,156.55,156.19,156.41,1300
2024-11-29 14:34:00,156.49,156.49,156.11,156.11,514
2024-11-29 14:36:00,156.04,156.04,155.773,155.773,1080
2024-11-29 14:37:00,155.76,155.76,155.6,155.6,682
2024-11-29 14:38:00,155.36,155.675,155.36,155.675,400
2024-11-29 14:39:00,155.73,155.83,155.69,155.83,726
2024-11-29 14:40:00,155.73,155.75,155.54,155.54,973
2024-11-29 14:41:00,155.43,155.43,155.3,155.3,500
2024-11-29 14:42:00,155.31,155.31,155.31,155.31,100
2024-11-29 14:43:00,155.3,155.53,155.25,155.53,1146
2024-11-29 14:44:00,155.38,155.47,155.38,155.47,900
2024-11-29 14:45:00,155.52,155.69,155.485,155.69,800
2024-11-29 14:46:00,155.17,155.17,155.17,155.17,100
2024-11-29 14:47:00,155.345,155.345,155.18,155.18,884
2024-11-29 14:48:00,155.21,155.35,155.2,155.2,6631
2024-11-29 14:49:00,155.0,155.01,154.913,154.984,730
2024-11-29 14:50:00,154.975,154.975,154.85,154.85,500
2024-11-29 14:51:00,154.85,154.85,154.72,154.78,500
2024-11-29 14:52:00,154.752,155.0,154.75,154.9,1429
2024-11-29 14:53:00,154.72,154.845,154.72,154.845,9031
2024-11-29 14:54:00,155.01,155.43,155.01,155.43,3611
2024-11-29 14:55:00,155.24,155.61,155.16,155.465,800
2024-11-29 14:56:00,155.31,155.32,155.31,155.32,406
2024-11-29 14:57:00,155.295,155.4,155.295,155.4,200
2024-11-29 14:58:00,155.36,155.36,155.27,155.27,400
2024-11-29 14:59:00,155.24,155.25,155.004,155.004,1263
2024-11-29 15:00:00,155.0,155.0,154.9,154.9,1231
2024-11-29 15:01:00,154.89,154.89,154.76,154.76,400
2024-11-29 15:02:00,154.755,155.09,154.755,155.09,1300
2024-11-29 15:03:00,154.985,155.035,154.92,154.93,760
2024-11-29 15:04:00,154.91,155.079,154.91,155.04,2184
2024-11-29 15:05:00,154.905,154.99,154.895,154.895,400
2024-11-29 15:06:00,154.96,154.96,154.78,154.85,1480
2024-11-29 15:07:00,154.9,154.99,154.78,154.79,1600
2024-11-29 15:08:00,154.72,154.74,154.67,154.735,1145
2024-11-29 15:09:00,154.715,154.715,154.715,154.715,2466
2024-11-29 15:10:00,154.675,154.745,154.675,154.745,300
2024-11-29 15:11:00,154.81,154.87,154.785,154.8,787
2024-11-29 15:12:00,154.77,154.77,154.75,154.75,326
2024-11-29 15:13:00,154.74,154.79,154.71,154.71,1233
