time,open,high,low,close,volume
2024-11-29 14:30:00,133.5,133.55,132.97,133.55,22378
2024-11-29 14:31:00,133.64,134.15,133.52,134.15,7858
2024-11-29 14:32:00,133.9,134.37,133.9,134.115,2190
2024-11-29 14:33:00,134.1,134.4,133.86,134.3,6665
2024-11-29 14:34:00,134.31,134.49,134.164,134.49,2510
2024-11-29 14:35:00,134.54,134.67,134.24,134.46,6812
2024-11-29 14:36:00,134.355,134.39,134.03,134.115,9663
2024-11-29 14:37:00,134.06,134.09,133.755,133.755,2565
2024-11-29 14:38:00,133.88,133.94,133.765,133.9,1477
2024-11-29 14:39:00,133.87,133.89,133.573,133.87,2211
2024-11-29 14:40:00,133.87,134.1,133.85,134.08,2145
2024-11-29 14:41:00,133.92,134.08,133.77,133.915,7414
2024-11-29 14:42:00,133.895,133.99,133.78,133.94,2287
2024-11-29 14:43:00,133.98,134.11,133.78,134.035,5697
2024-11-29 14:44:00,134.14,134.195,133.89,134.06,3820
2024-11-29 14:45:00,133.975,133.975,133.77,133.97,4747
2024-11-29 14:46:00,133.93,133.94,133.87,133.94,602
2024-11-29 14:47:00,133.95,134.06,133.86,134.06,709
2024-11-29 14:48:00,134.05,134.05,133.83,134.02,1400
2024-11-29 14:49:00,133.935,133.951,133.58,133.6,5444
2024-11-29 14:50:00,133.52,133.67,133.52,133.66,1333
2024-11-29 14:51:00,133.66,133.66,133.52,133.56,1574
2024-11-29 14:52:00,133.58,133.6,133.505,133.6,3492
2024-11-29 14:53:00,133.59,133.7,133.48,133.66,6737
2024-11-29 14:54:00,133.6,133.83,133.6,133.83,3027
2024-11-29 14:55:00,133.7,133.807,133.6,133.807,1131
2024-11-29 14:56:00,133.785,133.83,133.66,133.82,5000
2024-11-29 14:57:00,133.74,133.78,133.71,133.72,3891
2024-11-29 14:58:00,133.74,133.83,133.66,133.72,13138
2024-11-29 14:59:00,133.75,133.75,133.51,133.51,8765
2024-11-29 15:00:00,133.425,133.55,133.425,133.55,9441
2024-11-29 15:01:00,133.47,133.48,133.36,133.405,6276
2024-11-29 15:02:00,133.47,133.48,133.25,133.405,5465
2024-11-29 15:03:00,133.405,133.48,133.36,133.415,500
2024-11-29 15:04:00,133.405,133.48,133.35,133.405,2678
2024-11-29 15:05:00,133.41,133.45,133.36,133.45,2754
2024-11-29 15:06:00,133.45,133.51,133.33,133.355,4294
2024-11-29 15:07:00,133.355,133.355,133.03,133.13,1601
2024-11-29 15:08:00,133.107,133.154,133.0,133.01,613
2024-11-29 15:09:00,133.06,133.14,133.01,133.105,4076
2024-11-29 15:10:00,133.105,133.2,133.105,133.18,1461
2024-11-29 15:11:00,133.236,133.25,133.13,133.17,1114
2024-11-29 15:12:00,133.12,133.212,133.12,133.175,823
2024-11-29 15:13:00,133.14,133.275,133.12,133.265,1498
2024-11-29 15:14:00,133.3,133.35,133.3,133.32,800
2024-11-29 15:15:00,133.32,133.32,133.2,133.2,2815
2024-11-29 15:16:00,133.23,133.23,133.17,133.195,700
2024-11-29 15:17:00,133.16,133.26,133.16,133.255,1914
2024-11-29 15:18:00,133.28,133.34,133.28,133.33,2615
2024-11-29 15:19:00,133.35,133.35,133.145,133.155,15080
2024-11-29 15:20:00,133.155,133.2,133.11,133.19,3553
2024-11-29 15:21:00,133.16,133.168,133.1,133.15,1047
2024-11-29 15:22:00,133.15,133.22,133.12,133.17,6374
2024-11-29 15:23:00,133.2,133.23,133.195,133.21,995
2024-11-29 15:24:00,133.21,133.21,133.1,133.17,5209
2024-11-29 15:25:00,133.19,133.265,133.19,133.225,4172
2024-11-29 15:26:00,133.2,133.24,133.19,133.215,500
2024-11-29 15:27:00,133.24,133.25,133.22,133.25,1404
2024-11-29 15:28:00,133.235,133.29,133.19,133.29,2892
2024-11-29 15:29:00,133.27,133.34,133.27,133.31,7192
2024-11-29 15:30:00,133.34,133.4,133.31,133.4,7006
2024-11-29 15:31:00,133.4,133.415,133.37,133.415,2793
2024-11-29 15:32:00,133.42,133.42,133.383,133.41,3273
2024-11-29 15:33:00,133.46,133.46,133.41,133.435,3974
2024-11-29 15:34:00,133.449,133.45,133.4,133.45,3434
2024-11-29 15:35:00,133.47,133.505,133.4,133.48,5237
